custid,region,townsize,gender,age,agecat,birthmonth,ed,edcat,jobcat,union,employ,empcat,retire,income,lninc,inccat,debtinc,creddebt,lncreddebt,othdebt,lnothdebt,default,jobsat,marital,spoused,spousedcat,reside,pets,pets_cats,pets_dogs,pets_birds,pets_reptiles,pets_small,pets_saltfish,pets_freshfish,homeown,hometype,address,addresscat,cars,carown,cartype,carvalue,carcatvalue,carbought,carbuy,commute,commutecat,commutetime,commutecar,commutemotorcycle,commutecarpool,commutebus,commuterail,commutepublic,commutebike,commutewalk,commutenonmotor,telecommute,reason,polview,polparty,polcontrib,vote,card,cardtype,cardbenefit,cardfee,cardtenure,cardtenurecat,card2,card2type,card2benefit,card2fee,card2tenure,card2tenurecat,carditems,cardspent,card2items,card2spent,active,bfast,tenure,churn,longmon,lnlongmon,longten,lnlongten,tollfree,tollmon,lntollmon,tollten,lntollten,equip,equipmon,lnequipmon,equipten,lnequipten,callcard,cardmon,lncardmon,cardten,lncardten,wireless,wiremon,lnwiremon,wireten,lnwireten,multline,voice,pager,internet,callid,callwait,forward,confer,ebill,owntv,hourstv,ownvcr,owndvd,owncd,ownpda,ownpc,ownipod,owngame,ownfax,news,response_01,response_02,response_03
"4225-PZZDIY-IBH",3,1,1,66,6,"December",13,2,6,1,31,5,1,23.000000,3.135494,1,9.300000,0.934743,-0.067484,1.204257,0.185863,0,5,1,12,2,2,9,3,0,0,0,0,0,6,0,2,29,5,3,1,0,11.600000,1,0,1,1,1,14,1,0,0,0,1,0,0,1,0,0,2,2,1,1,1,3,3,4,0,40,5,4,2,1,0,30,5,9.000000,297.470000,4.000000,98.650000,0,2,72,0,38.700000,3.655840,2854.900000,7.956792,1,27.000000,3.295837,1919.000000,7.559559,0,0.000000,,0.000000,,1,68.500000,4.226834,4865.000000,8.489822,1,43.250000,3.766997,3159.250000,8.058090,1,1,1,1,1,1,1,1,0,1,22,1,1,1,0,1,0,0,1,1,0,0,1
"0758-EQEGIQ-3OF",1,1,1,57,5,"October",17,4,4,0,24,5,0,171.000000,5.141664,5,9.500000,1.803195,0.589560,14.441805,2.670127,0,5,1,16,3,3,1,0,1,0,0,0,0,0,1,1,8,3,2,1,1,75.800000,3,0,1,1,1,19,1,1,0,0,0,0,0,0,0,0,9,5,1,0,0,4,1,1,0,19,5,3,2,4,0,13,4,14.000000,305.940000,4.000000,96.230000,1,3,48,0,4.150000,1.423108,214.850000,5.369940,1,28.750000,3.358638,1444.650000,7.275622,1,43.150000,3.764682,1990.250000,7.596016,1,29.250000,3.375880,1315.000000,7.181592,1,40.200000,3.693867,1840.450000,7.517765,0,1,1,3,1,1,0,1,1,1,17,1,1,1,1,1,1,1,1,0,0,0,1
"0649-TBFJFL-QU4",5,2,0,63,5,"May",14,2,6,1,29,5,0,424.000000,6.049733,5,10.700000,13.111352,2.573478,32.256648,3.473724,0,4,1,20,5,2,0,0,0,0,0,0,0,0,1,3,29,5,3,1,0,88.600000,3,0,1,1,1,29,1,0,0,0,1,0,0,0,0,1,9,3,0,0,1,3,3,2,0,36,5,2,3,3,1,29,5,10.000000,495.750000,10.000000,798.310000,0,1,70,0,34.800000,3.549617,2540.150000,7.839978,1,45.250000,3.812203,3165.450000,8.060051,0,0.000000,,0.000000,,1,19.750000,2.983153,1325.000000,7.189168,0,0.000000,,0.000000,,1,1,0,0,1,0,1,1,1,1,24,1,1,1,0,0,0,0,0,1,0,0,0
"2228-KOLOPU-FY3",5,5,1,28,3,"April",11,1,1,0,4,2,0,23.000000,3.135494,1,4.800000,0.190992,-1.655524,0.913008,-0.091011,0,1,1,12,2,3,10,1,0,0,0,0,0,9,1,1,5,2,0,-1,-1,-1.000000,-1,-1,1,4,3,30,0,0,0,1,0,0,0,0,0,1,9,5,1,0,0,2,2,4,0,10,3,3,3,3,0,10,3,17.000000,442.090000,7.000000,144.690000,1,1,34,0,3.450000,1.238374,110.450000,4.704563,1,33.000000,3.496508,1099.650000,7.002747,0,0.000000,,0.000000,,1,16.500000,2.803360,545.000000,6.300786,0,0.000000,,0.000000,,0,0,0,0,1,1,1,1,0,1,16,1,1,1,1,0,0,0,0,0,1,0,0
"3853-NVDCOJ-TIN",1,1,1,78,6,"June",16,3,1,0,10,3,1,22.000000,3.091042,1,15.200000,0.692208,-0.367869,2.651792,0.975236,0,3,0,-1,-1,1,0,0,0,0,0,0,0,0,0,1,29,5,2,1,1,10.800000,1,0,1,3,2,23,1,0,1,0,0,0,0,0,0,0,9,2,0,1,0,2,3,1,0,10,3,3,2,2,0,7,3,1.000000,8.110000,0.000000,0.000000,1,1,14,0,7.300000,1.987874,85.600000,4.449685,0,0.000000,,0.000000,,1,24.850000,3.212858,341.750000,5.834079,1,31.750000,3.457893,350.000000,5.857933,0,0.000000,,0.000000,,1,0,0,1,0,0,0,0,1,1,22,1,1,0,0,1,1,0,0,0,0,0,0
"0765-UXAFYM-PDR",3,3,0,61,5,"June",16,3,1,0,4,2,0,35.000000,3.555348,2,10.100000,1.233715,0.210030,2.301285,0.833468,0,3,1,12,2,2,0,0,0,0,0,0,0,0,0,2,29,5,4,0,0,9.400000,1,1,0,1,1,34,1,0,0,1,0,0,0,0,0,0,9,2,0,0,0,1,4,1,0,27,5,4,2,3,0,15,4,8.000000,271.980000,7.000000,240.380000,0,3,53,0,11.200000,2.415914,567.050000,6.340447,0,0.000000,,0.000000,,0,0.000000,,0.000000,,1,9.500000,2.251292,480.000000,6.173786,0,0.000000,,0.000000,,0,1,0,1,1,1,1,1,0,1,25,1,1,1,0,1,1,1,0,0,0,0,0
"9937-SFPLRK-H9Y",2,4,0,70,6,"September",17,4,2,1,2,2,0,28.000000,3.332205,2,9.300000,1.195236,0.178344,1.408764,0.342713,0,1,1,17,4,2,9,0,0,1,0,0,0,8,0,2,14,3,5,1,0,15.700000,1,0,1,1,1,29,1,0,0,0,0,0,0,0,0,0,9,6,1,0,1,1,1,3,1,26,5,4,2,4,0,17,5,8.000000,267.710000,3.000000,79.540000,1,2,59,1,14.250000,2.656757,805.800000,6.691836,1,23.500000,3.157000,1366.650000,7.220118,0,0.000000,,0.000000,,1,15.250000,2.724580,840.000000,6.733402,0,0.000000,,0.000000,,1,0,1,3,0,1,0,1,0,1,21,1,1,1,0,1,0,1,0,0,0,1,0
"0712-WQXYVV-HUP",4,1,0,61,5,"April",14,2,6,0,18,5,1,12.000000,2.484907,1,21.500000,0.565020,-0.570894,2.014980,0.700609,0,5,0,-1,-1,1,0,0,0,0,0,0,0,0,1,3,12,3,3,1,0,5.800000,1,1,0,4,3,25,1,0,0,1,0,0,0,0,0,0,9,3,1,0,0,1,1,2,0,24,5,3,3,1,0,22,5,10.000000,245.030000,4.000000,63.630000,0,2,61,0,8.350000,2.122262,476.950000,6.167412,0,0.000000,,0.000000,,1,29.100000,3.370738,1790.800000,7.490418,1,11.500000,2.442347,675.000000,6.514713,0,0.000000,,0.000000,,0,0,0,3,0,1,0,0,0,1,13,1,0,1,0,1,0,1,0,0,0,0,0
"6441-FJUWZQ-7G8",3,4,0,37,4,"August",11,1,1,1,2,2,0,29.000000,3.367296,2,15.700000,3.319137,1.199705,1.233863,0.210150,1,3,0,-1,-1,1,0,0,0,0,0,0,0,0,0,2,10,3,0,-1,-1,-1.000000,-1,-1,1,5,3,29,0,0,0,1,1,0,0,0,0,0,9,4,0,0,0,5,1,2,1,12,4,4,2,2,0,11,4,17.000000,556.610000,7.000000,187.470000,1,1,39,0,13.100000,2.572612,504.450000,6.223469,1,28.500000,3.349904,1028.100000,6.935468,1,43.500000,3.772761,1663.950000,7.416950,1,10.500000,2.351375,380.000000,5.940171,1,31.500000,3.449988,1199.200000,7.089410,1,1,1,4,1,1,1,1,1,1,21,0,1,1,1,1,1,1,0,1,0,0,0
"7634-AVNEXZ-7AG",1,3,0,39,4,"October",12,2,1,0,5,2,0,130.000000,4.867534,5,11.300000,4.686110,1.544603,10.003890,2.302974,0,5,1,14,2,4,5,0,0,0,0,0,0,5,1,1,12,3,2,1,0,49.200000,3,1,0,1,1,32,1,0,0,1,1,0,0,0,0,0,9,1,1,1,1,4,4,4,1,2,2,3,2,2,0,1,1,12.000000,453.740000,5.000000,245.140000,0,1,6,0,1.500000,0.405465,11.150000,2.411439,1,13.250000,2.583998,93.000000,4.532599,0,0.000000,,0.000000,,1,24.500000,3.198673,140.000000,4.941642,0,0.000000,,0.000000,,0,0,0,1,1,0,1,1,0,1,32,1,1,1,0,1,1,0,0,0,0,0,0
"2041-PNMGHX-TXJ",4,3,1,73,6,"November",14,2,3,0,28,5,1,69.000000,4.234107,3,14.800000,1.164168,0.152007,9.047832,2.202525,0,3,1,15,3,2,0,0,0,0,0,0,0,0,0,2,38,5,1,1,1,22.800000,2,1,0,1,1,27,1,0,0,1,0,0,0,1,0,0,9,5,0,0,0,2,2,3,0,32,5,3,2,4,1,24,5,6.000000,212.670000,2.000000,80.440000,0,3,62,0,25.450000,3.236716,1565.600000,7.356024,1,17.750000,2.876386,1031.400000,6.938672,1,47.150000,3.853334,2874.150000,7.963512,1,10.000000,2.302585,595.000000,6.388561,1,53.200000,3.974058,3245.600000,8.085056,1,1,1,2,1,1,1,1,1,1,22,1,1,1,1,1,1,1,0,1,0,0,0
"4626-BQZAUJ-V9K",5,4,1,26,3,"June",16,3,2,0,0,1,0,24.000000,3.178054,1,11.700000,1.297296,0.260282,1.510704,0.412576,1,2,1,17,4,6,1,0,1,0,0,0,0,0,0,2,5,2,4,0,0,9.800000,1,0,0,1,1,27,1,0,0,0,0,0,0,0,0,0,9,6,1,1,0,4,1,1,1,8,3,1,2,3,0,4,2,14.000000,447.670000,5.000000,101.000000,1,3,26,1,5.800000,1.757858,149.400000,5.006627,0,0.000000,,0.000000,,1,27.050000,3.297687,728.550000,6.591056,1,5.500000,1.704748,145.000000,4.976734,0,0.000000,,0.000000,,1,0,0,4,0,0,0,0,1,1,17,1,1,1,0,1,1,1,1,0,0,0,0
"2969-ODPCDX-5DC",2,1,1,24,2,"April",17,4,6,0,1,1,0,29.000000,3.367296,2,14.000000,1.392580,0.331158,2.667420,0.981112,1,1,0,-1,-1,1,12,0,1,0,0,0,0,11,1,1,4,2,0,-1,-1,-1.000000,-1,-1,0,10,5,14,0,0,1,0,0,0,1,1,0,1,9,6,0,1,1,4,1,4,0,5,2,3,3,1,0,5,2,11.000000,279.950000,1.000000,24.550000,1,1,11,1,3.950000,1.373716,42.400000,3.747148,0,0.000000,,0.000000,,1,19.650000,2.978077,172.750000,5.151845,0,0.000000,,0.000000,,0,0.000000,,0.000000,,0,0,0,0,0,0,0,0,0,1,13,1,1,1,0,0,1,1,0,0,0,1,0
"4974-FUBHDF-Z7L",3,1,1,77,6,"May",15,3,1,0,26,5,1,11.000000,2.397895,1,10.200000,0.255816,-1.363297,0.866184,-0.143658,0,5,0,-1,-1,1,2,0,2,0,0,0,0,0,1,4,57,5,2,1,0,3.100000,1,0,0,1,1,21,1,0,0,1,1,0,0,0,0,0,9,2,1,1,0,2,1,1,0,39,5,4,4,1,0,30,5,10.000000,194.950000,5.000000,107.060000,1,2,72,0,89.450000,4.493680,6495.700000,8.778896,1,75.500000,4.324133,5310.550000,8.577451,0,0.000000,,0.000000,,1,40.750000,3.707456,2865.000000,7.960324,0,0.000000,,0.000000,,1,0,0,0,1,1,0,0,0,1,23,1,1,1,0,0,0,0,0,1,0,0,0
"2525-OSULNV-0KS",5,3,0,36,4,"March",19,4,1,1,3,2,0,30.000000,3.401197,2,15.500000,0.413850,-0.882252,4.236150,1.443655,0,4,0,-1,-1,1,7,0,0,0,0,0,0,7,1,3,16,4,3,1,0,13.100000,1,0,1,1,1,24,1,1,0,0,0,0,0,0,0,0,9,1,1,1,1,1,1,3,0,10,3,2,1,4,0,11,4,11.000000,300.970000,6.000000,178.900000,0,3,37,0,6.700000,1.902108,233.850000,5.454680,0,0.000000,,0.000000,,0,0.000000,,0.000000,,0,0.000000,,0.000000,,0,0.000000,,0.000000,,0,0,0,2,0,0,0,0,0,1,15,1,1,1,0,1,1,1,0,0,0,0,0
"4973-FHPBZQ-AAA",3,5,0,55,5,"December",14,2,3,0,23,5,0,80.000000,4.382027,4,6.500000,0.031200,-3.467337,5.168800,1.642641,0,5,0,-1,-1,1,9,2,0,0,0,0,0,7,1,3,27,5,4,1,0,35.000000,2,0,1,1,1,25,1,0,1,1,0,0,0,0,1,0,9,6,0,0,0,2,4,3,1,21,5,4,3,2,0,17,5,11.000000,394.020000,3.000000,71.410000,0,1,47,0,12.250000,2.505526,524.400000,6.262255,0,0.000000,,0.000000,,0,0.000000,,0.000000,,1,22.250000,3.102342,1000.000000,6.907755,0,0.000000,,0.000000,,0,0,0,0,0,0,1,1,0,1,25,1,1,1,0,1,0,1,0,1,0,1,0
"4726-RQKGNB-WAK",2,2,1,60,5,"March",18,4,1,0,13,4,0,51.000000,3.931826,3,7.800000,1.209312,0.190052,2.768688,1.018374,0,5,1,13,2,2,2,2,0,0,0,0,0,0,0,2,27,5,2,1,0,25.200000,2,0,1,1,1,26,1,0,1,1,0,0,0,0,0,0,9,6,1,1,0,4,2,2,0,38,5,2,4,3,1,29,5,9.000000,112.470000,2.000000,44.520000,1,3,71,0,36.350000,3.593194,2586.850000,7.858196,1,51.250000,3.936716,3624.850000,8.195568,1,55.150000,4.010057,4064.250000,8.309985,1,28.500000,3.349904,2090.000000,7.644919,1,55.800000,4.021774,3819.500000,8.247875,1,1,1,4,0,0,1,0,1,1,20,1,1,1,0,1,1,1,1,1,0,0,1
"6592-QBSENI-6Y4",1,1,1,59,5,"February",8,1,2,1,4,2,0,30.000000,3.401197,2,2.800000,0.262920,-1.335905,0.577080,-0.549774,0,5,1,10,1,4,1,0,1,0,0,0,0,0,0,2,6,2,0,-1,-1,-1.000000,-1,-1,1,4,3,15,0,0,0,1,0,0,0,0,0,0,9,4,1,1,0,2,1,1,1,2,2,1,2,2,1,1,1,11.000000,342.170000,4.000000,101.970000,0,1,3,0,5.500000,1.704748,19.350000,2.962692,1,19.750000,2.983153,52.600000,3.962716,0,0.000000,,0.000000,,1,30.000000,3.401197,45.000000,3.806662,0,0.000000,,0.000000,,0,0,0,0,1,1,1,1,0,1,29,1,1,0,0,0,0,0,0,0,0,0,0
"5538-DRGHIE-PF0",1,1,0,28,3,"October",11,1,2,1,1,1,0,17.000000,2.833213,1,8.200000,0.150552,-1.893447,1.243448,0.217888,1,2,1,14,2,6,1,1,0,0,0,0,0,0,0,1,5,2,3,1,0,8.200000,1,0,0,1,1,23,1,0,0,0,0,0,0,0,0,0,9,5,1,0,1,3,1,2,0,7,3,5,4,1,0,6,3,10.000000,381.140000,2.000000,73.220000,1,3,16,0,7.850000,2.060514,116.300000,4.756173,0,0.000000,,0.000000,,0,0.000000,,0.000000,,0,0.000000,,0.000000,,0,0.000000,,0.000000,,0,0,0,0,0,0,1,0,0,1,30,1,0,0,0,0,0,1,0,0,0,0,0
"3550-PQUPPM-42T",3,3,0,53,5,"August",20,5,2,0,11,4,0,141.000000,4.948760,5,9.900000,9.589833,2.260703,4.369167,1.474572,0,5,1,17,4,3,1,0,1,0,0,0,0,0,1,1,20,4,0,-1,-1,-1.000000,-1,-1,0,10,5,23,0,1,0,0,0,0,0,1,0,1,9,6,1,1,1,4,2,1,0,13,4,1,4,3,0,8,3,11.000000,445.900000,3.000000,198.770000,0,3,36,1,3.400000,1.223775,122.000000,4.804021,1,29.000000,3.367296,1042.400000,6.949281,1,49.250000,3.896909,1693.600000,7.434612,1,22.250000,3.102342,790.000000,6.672033,1,61.250000,4.114964,2209.200000,7.700386,1,1,1,3,1,1,1,1,1,1,10,1,1,1,1,1,1,1,1,0,0,0,0
